商品マスタ一覧－店舗：0001 本店,,,,,,,作成日：2026年6月12日(Fri) 17:37
検索条件：商品コード[すべて] 商品名[すべて] 商品名ﾌﾘｶﾞﾅ[すべて] 商品分類[すべて] 収納区分[すべて] 洗い区分[すべて] 更新フラグ[すべて] プリセット[すべて]
 No.,コード,名称,フリガナ,価格1,価格2,価格3,価格4,価格5,価格6,会員価格1,会員価格2,会員価格3,会員価格4,会員価格5,会員価格6,特別会員価格1,特別会員価格2,特別会員価格3,特別会員価格4,特別会員価格5,特別会員価格6,商品分類ｺｰﾄﾞ,商品分類名称,収納区分ｺｰﾄﾞ,収納区分名称,洗い区分ｺｰﾄﾞ,洗い区分名称,タグ数,ランク,消費税区分,税コード,税名称,仕上日,特価対象,値下対象,プリセット,ポイント対象,顧客分析対象,ポイント倍率,ミックスマッチ対象,サイズ指定対象,ﾀｸﾞ0点数ｶｳﾝﾄ,コメント表示担当者,商品コメント,返却加算ポイント,サービス券1,サービス券2,サービス券3,クーポンID
1,"000001","ｴｺﾉﾐｰＹｼｬﾂ","ｴｺﾉﾐｰY",271,0,0,0,0,0,271,0,0,0,0,0,271,0,0,0,0,0,"01","ﾜｲｼｬﾂ","24","エコＹ","01","ﾜｲｼｬﾂ",1,"1","外税","01","外税",0,"○","○","○","×","○",1.00,"○","×","×","初心者のみ","",0,0,0,0,""
2,"000002","ｴｺﾉﾐｰ ｶﾗｰY","ｴｺﾉﾐｰｶﾗｰY",271,0,0,0,0,0,271,0,0,0,0,0,271,0,0,0,0,0,"01","ﾜｲｼｬﾂ","24","エコＹ","01","ﾜｲｼｬﾂ",1,"1","外税","01","外税",0,"○","○","○","×","○",1.00,"○","×","×","初心者のみ","",0,0,0,0,""
40,"000152","ﾄﾚｰﾅｰ","ﾄﾚｰﾅｰ           ",634,0,0,818,1555,3704,634,0,0,818,1555,3704,634,0,0,818,1555,3704,"02","ｼｬﾂ・ﾌﾞﾗｳｽ","03","タタミ","02","ﾄﾞﾗｲ",1,"1","外税","01","外税",0,"○","○","○","×","○",1.00,"×","×","×","表示しない","",0,0,0,0,""
41,"000155","ｵｰﾙｲﾝﾜﾝ","ｵｰﾙｲﾝﾜﾝ",1184,0,0,1533,2930,7004,1184,0,0,1533,2930,7004,1184,0,0,1533,2930,7004,"09","ﾜﾝﾋﾟｰｽ","06","立体","02","ﾄﾞﾗｲ",1,"1","外税","01","外税",0,"○","○","○","×","○",1.00,"×","×","×","初心者のみ","",0,0,0,0,""
42,"000160","ﾌﾞﾗｳｽ","ﾌﾞﾗｳｽ           ",634,0,0,818,1555,3704,634,0,0,818,1555,3704,634,0,0,818,1555,3704,"02","ｼｬﾂ・ﾌﾞﾗｳｽ","06","立体","02","ﾄﾞﾗｲ",1,"1","外税","01","外税",0,"○","○","○","×","○",1.00,"×","×","×","表示しない","",0,0,0,0,""
43,"000167","ﾀﾝｸﾄｯﾌﾟ・ｷｬﾐｿｰﾙ","ﾀﾝｸﾄｯﾌﾟ",634,0,0,818,1555,3704,634,0,0,818,1555,3704,634,0,0,818,1555,3704,"02","ｼｬﾂ・ﾌﾞﾗｳｽ","06","立体","02","ﾄﾞﾗｲ",1,"1","外税","01","外税",0,"○","○","○","×","○",1.00,"×","×","×","表示しない","",0,0,0,0,""
44,"000179","綿入りﾍﾞｽﾄ","ﾜﾀｲﾘﾍﾞｽﾄ",1072,0,0,1388,2650,6332,1072,0,0,1388,2650,6332,1072,0,0,1388,2650,6332,"03","ﾍﾞｽﾄ","06","立体","02","ﾄﾞﾗｲ",1,"1","外税","01","外税",0,"○","○","○","×","○",1.00,"○","×","×","表示しない","",0,0,0,0,""
45,"000180","ﾍﾞｽﾄ","ﾍﾞｽﾄ            ",724,0,0,935,1780,4244,724,0,0,935,1780,4244,724,0,0,935,1780,4244,"03","ﾍﾞｽﾄ","06","立体","02","ﾄﾞﾗｲ",1,"1","外税","01","外税",0,"○","○","○","×","○",1.00,"×","×","×","表示しない","",0,0,0,0,""
46,"000183","ﾆｯﾄﾍﾞｽﾄ","ﾆｯﾄﾍﾞｽﾄ         ",688,0,0,888,1690,4028,688,0,0,888,1690,4028,688,0,0,888,1690,4028,"03","ﾍﾞｽﾄ","03","タタミ","02","ﾄﾞﾗｲ",1,"1","外税","01","外税",0,"○","○","○","×","○",1.00,"×","×","×","表示しない","",0,0,0,0,""
47,"000184","ﾆｯﾄﾍﾞｽﾄ A素材","ﾆｯﾄﾍﾞｽﾄAｿｻﾞｲ    ",748,0,0,966,1840,4388,748,0,0,966,1840,4388,748,0,0,966,1840,4388,"03","ﾍﾞｽﾄ","03","タタミ","02","ﾄﾞﾗｲ",1,"1","外税","01","外税",0,"○","○","○","×","○",1.00,"×","×","×","表示しない","",0,0,0,0,""
48,"000185","ﾆｯﾄﾍﾞｽﾄ B素材","ﾆｯﾄﾍﾞｽﾄBｿｻﾞｲ    ",808,0,0,1044,1990,4748,808,0,0,1044,1990,4748,808,0,0,1044,1990,4748,"03","ﾍﾞｽﾄ","03","タタミ","02","ﾄﾞﾗｲ",1,"1","外税","01","外税",0,"○","○","○","×","○",1.00,"×","×","×","表示しない","",0,0,0,0,""
49,"000190","ﾀﾞｳﾝﾍﾞｽﾄ","ﾀﾞｳﾝﾍﾞｽﾄ        ",2008,0,0,0,0,0,2008,0,0,0,0,0,2008,0,0,0,0,0,"04","ﾀﾞｳﾝ","21","ダウン","03","ロット外",1,"1","外税","01","外税",0,"○","○","○","×","○",1.00,"×","×","×","表示しない","",0,0,0,0,""
